Date_Start,Date_End,B.1.1.7 (Alpha),B.1617.2 (Delta),B.1.351 (Beta),B.1.1.529 (Omicron,
1/4/2021,20/6/2021,5641,661,38,0,
21/6/2021,27/6/2021,2218,459,89,0,
28/6/2021,2/7/2021,1458,721,59,0,
3/7/2021,9/7/2021,2058,1834,85,0,
10/7/2021,16/7/2021,1139,2090,111,0,
17/7/2021,23/7/2021,905,2215,86,0,
24/7/2021,30/7/2021,538,1993,16,0,
31/7/2021,6/8/2021,129,1499,4,0,
7/8/2021,13/8/2021,110,2372,28,0,
14/8/2021,20/8/2021,134,2132,29,0,
21/8/2021,27/8/2021,55,1479,25,0,
28/8/2021,3/9/2021,75,1417,31,0,
4/9/2021,10/9/2021,53,629,26,0,
11/9/2021,17/9/2021,42,939,35,0,
18/9/2021,24/9/2021,14,621,13,0,
25/9/2021,1/10/2021,2,994,0,0,
2/10/2021,8/10/2021,13,874,2,0,
9/10/2021,15/10/2021,3,1195,3,0,
16/10/2021,22/10/2021,7,1070,9,0,
23/10/2021,29/10/2021,0,2143,1,0,
30/10/2021,5/11/2021,3,633,0,0,
6/11/2021,12/11/2021,4,1377,1,0,
13/11/2021,19/11/2021,0,716,0,0,
20/11/2021,26/11/2021,0,537,0,0,
27/11/2021,3/12/2021,0,792,0,0,
4/12/2021,10/12/2021,1,722,0,11,
11/12/2021,19/12/2021,1,1541,1,52,
20/12/2021,26/12/2021,2,1119,0,451,
27/12/2021,31/12/2021,4,1003,1,852,
1/1/2022,7/1/2022,0,1244,1,2651,
8/1/2022,14/1/2022,0,820,0,3802,
15/1/2022,21/1/2022,0,448,0,3300,
22/1/2022,28/1/2022,0,155,0,2479,
29/1/2022,4/2/2022,0,174,0,2455,
5/2/2022,11/2/2022,0,57,0,1975,
12/2/2022,18/2/2022,0,47,0,2144,
19/2/2022,25/2/2022,0,10,0,2130,
26/2/2022,4/3/2022,0,7,0,1898,
5/3/2022,11/3/2022,0,6,0,1961,
12/3/2022,18/3/2022,0,1,0,1981,
19/3/2022,25/3/2022,0,9,0,1930,
26/3/2022,1/4/2022,0,3,0,1930,
2/4/2022,8/4/2022,0,3,0,1887,
9/4/2022,15/4/2022,0,0,0,1279,
16/4/2022,22/4/2022,0,0,0,1642,
23/4/2022,29/4/2022,0,0,0,863,
30/4/2022,6/5/2022,0,0,0,747,
7/5/2022,13/5/2022,0,1,0,429,
14/5/2022,20/5/2022,0,0,0,403,
21/5/2022,27/5/2022,0,1,0,398,
28/5/2022,3/6/2022,0,0,0,368,
4/6/2022,10/6/2022,0,0,0,398,
11/6/2022,17/6/2022,0,0,0,436,
18/6/2022,24/6/2022,0,0,0,812,
25/6/2022,1/7/2022,0,0,0,948,
2/7/2022,8/7/2022,0,0,0,570,
9/7/2022,15/7/2022,0,0,0,548,
16/7/2022,22/7/2022,0,0,0,468,
23/7/2022,29/7/2022,0,0,0,674,
30/7/2022,5/8/2022,0,0,0,382,
6/8/2022,12/8/2022,0,1,0,477,
13/8/2022,19/8/2022,0,0,0,392,
20/8/2022,26/8/2022,0,0,0,339,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
